date_2020,ID,dateu,PM2.5_daily,temperature
3/1/2022,1334,2022-03-01,2.009,67.467
3/17/2022,12785,2022-03-17,1.988,72.967
3/19/2022,12785,2022-03-19,1.974,86.967
3/14/2022,12747,2022-03-14,1.967,70.296
3/20/2022,47497,2022-03-20,1.956,65.259
3/9/2022,47559,2022-03-09,1.95,65.724
3/10/2022,12785,2022-03-10,1.935,60.933
2/26/2022,47559,2022-02-26,1.881,61
2/27/2022,57965,2022-02-27,1.861,52.133
3/13/2022,12759,2022-03-13,1.823,65.6
3/9/2022,12747,2022-03-09,1.755,73.808
3/2/2022,57965,2022-03-02,1.737,89.667
3/20/2022,12747,2022-03-20,1.719,77.167
3/13/2022,12867,2022-03-13,1.646,63.133
3/10/2022,12747,2022-03-10,1.581,66.067
3/1/2022,47559,2022-03-01,1.536,80
3/9/2022,57965,2022-03-09,1.514,58.367
3/12/2022,12785,2022-03-12,1.379,65.267
3/10/2022,47559,2022-03-10,1.285,57.167
2/26/2022,12785,2022-02-26,1.268,63.633
3/14/2022,47559,2022-03-14,1.224,80.367
2/22/2022,12785,2022-02-22,1.184,78.033
3/11/2022,57965,2022-03-11,1.137,72.033
3/7/2022,12785,2022-03-07,1.054,89.033
2/23/2022,12785,2022-02-23,1.012,80.567
2/24/2022,12785,2022-02-24,0.936,72.133
3/9/2022,12785,2022-03-09,0.896,63.433
3/4/2022,12785,2022-03-04,0.885,72.4
2/28/2022,12785,2022-02-28,0.78,72.4
3/13/2022,57965,2022-03-13,0.753,64.467
3/20/2022,12785,2022-03-20,0.752,81.367
3/10/2022,57965,2022-03-10,0.735,64
3/17/2022,57965,2022-03-17,0.72,82.467
2/23/2022,57965,2022-02-23,0.714,82.9
3/19/2022,32481,2022-03-19,0.699,82.966
3/8/2022,57965,2022-03-08,0.671,74.767
3/19/2022,57965,2022-03-19,0.669,83.633
3/14/2022,12785,2022-03-14,0.666,75.333
2/26/2022,57965,2022-02-26,0.451,62.9
3/8/2022,12785,2022-03-08,0.411,83.967
3/20/2022,20809,2022-03-20,0.353,76.567
3/20/2022,57965,2022-03-20,0.312,74.2
3/13/2022,47559,2022-03-13,0.107,67.7
3/13/2022,12785,2022-03-13,0.105,59.867
2/21/2022,12801,2022-02-21,0,79.448
2/21/2022,37781,2022-02-21,0,81.333
2/21/2022,47513,2022-02-21,0,73
2/22/2022,12801,2022-02-22,0,81.733
2/22/2022,37781,2022-02-22,0,77.133
2/22/2022,47513,2022-02-22,0,73
2/23/2022,12801,2022-02-23,0,86.467
2/23/2022,37781,2022-02-23,0,80.133
2/23/2022,47513,2022-02-23,0,73
2/24/2022,12801,2022-02-24,0,80.133
2/24/2022,37781,2022-02-24,0,70.8
2/24/2022,47513,2022-02-24,0,73
2/25/2022,12801,2022-02-25,0,91.6
2/25/2022,37781,2022-02-25,0,77.967
2/25/2022,47513,2022-02-25,0,73
2/26/2022,12801,2022-02-26,0,78.9
2/26/2022,37781,2022-02-26,0,64.133
2/26/2022,47513,2022-02-26,0,73
2/27/2022,12801,2022-02-27,0,56.9
2/27/2022,37781,2022-02-27,0,55.233
2/27/2022,47513,2022-02-27,0,73
2/28/2022,12801,2022-02-28,0,69.067
2/28/2022,37781,2022-02-28,0,78.4
2/28/2022,47513,2022-02-28,0,73
3/1/2022,12801,2022-03-01,0,79.967
3/1/2022,37781,2022-03-01,0,81
3/1/2022,47513,2022-03-01,0,73
3/2/2022,12801,2022-03-02,0,84.1
3/2/2022,37781,2022-03-02,0,89.4
3/2/2022,47513,2022-03-02,0,73
3/3/2022,12801,2022-03-03,0,91.9
3/3/2022,37781,2022-03-03,0,96.759
3/3/2022,47513,2022-03-03,0,73
3/4/2022,12801,2022-03-04,0,76.8
3/4/2022,37781,2022-03-04,0,79.633
3/4/2022,47513,2022-03-04,0,73
3/5/2022,12801,2022-03-05,0,88.4
